year, pressure (MPa)
1967.34, 6.17e+00
1968.24, 6.04e+00
1969.53, 5.66e+00
1969.78, 5.50e+00
1970.38, 5.20e+00
1970.98, 4.95e+00
1971.28, 4.89e+00
1971.64, 4.63e+00
1972.69, 4.71e+00
1973.68, 5.01e+00
1974.78, 5.21e+00
1975.20, 5.14e+00
1975.46, 5.03e+00
1977.40, 5.26e+00
1979.23, 5.50e+00
1982.15, 5.38e+00
1983.51, 5.33e+00
1985.03, 5.39e+00
1987.91, 5.44e+00
1989.42, 4.86e+00
1990.31, 4.65e+00
1991.15, 4.33e+00
1992.35, 3.89e+00
1993.19, 3.78e+00
1993.82, 4.44e+00
1994.39, 3.69e+00
1995.23, 3.61e+00
1996.22, 3.63e+00
1999.00, 3.67e+00
1999.99, 3.74e+00
2000.98, 4.02e+00
2004.59, 4.34e+00
2005.64, 4.39e+00
2006.37, 4.47e+00
2008.25, 4.51e+00
2010.11, 4.35e+00
2012.03, 4.50e+00
2013.79, 4.60e+00
2016.25, 4.62e+00
2018.50, 4.75e+00
