year, production (kg/s)
1966.49, 1.42e+01
1967.47, 7.22e+01
1968.41, 2.28e+02
1969.50, 2.44e+02
1970.48, 3.10e+02
1971.43, 2.17e+02
1972.49, 1.21e+01
1973.58, 3.89e+00
1974.52, 1.69e+01
1975.51, 5.60e+01
1976.50, 1.12e+02
1977.44, 6.79e+01
1978.48, 3.61e+01
1979.47, 4.39e+01
1980.51, 5.17e+01
1981.51, 2.71e+01
1982.45, 1.58e+01
1983.49, 4.57e+01
1984.48, 4.45e+01
1985.53, 4.46e+01
1986.57, 4.46e+01
1987.51, 4.58e+01
1988.50, 5.14e+01
1989.46, 2.15e+02
1990.45, 2.89e+02
1991.44, 2.94e+02
1992.48, 2.55e+02
1993.48, 2.74e+02
1994.47, 2.55e+02
1995.46, 2.36e+02
1996.45, 2.58e+02
1996.54, 2.30e+02
1997.53, 2.04e+02
1998.51, 1.90e+02
1999.56, 1.57e+02
2000.54, 1.47e+02
2001.59, 1.74e+02
2002.54, 1.72e+02
2003.52, 1.53e+02
2004.57, 1.59e+02
2005.49, 1.44e+02
2006.56, 1.68e+02
2007.49, 1.56e+02
2008.56, 1.98e+02
2009.51, 2.19e+02
2010.56, 1.93e+02
2011.51, 1.75e+02
2012.50, 1.49e+02
2013.51, 1.49e+02
2014.50, 1.28e+02
2015.57, 1.50e+02
2016.50, 1.53e+02
2017.50, 1.47e+02
2018.50, 1.44e+02
2019.50, 1.48e+02
